"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.907389750E0,8.678656742E-3,1.698240189E-2,6.267279625E-2,6.551030794E-2
1.917319750E0,4.403227475E-3,3.020454620E-2,5.937321246E-2,6.675987852E-2
1.927249750E0,3.259749636E-3,2.434447580E-2,6.505085886E-2,6.953339994E-2
1.937179750E0,2.179286510E-2,1.099861721E-2,5.754303396E-2,6.250679408E-2
1.947110750E0,1.934171230E-2,6.589633883E-3,6.063971937E-2,6.398984821E-2
1.957040750E0,1.195273206E-2,3.430438084E-3,5.745824933E-2,5.878848633E-2
1.966970750E0,2.012576910E-2,3.247734065E-2,6.477954805E-2,7.520780600E-2
1.976901750E0,3.029098906E-2,2.978005661E-2,4.861901343E-2,6.456163146E-2
1.986831750E0,-2.626770269E-3,-1.052650480E-2,3.378813565E-2,3.548725596E-2
1.996761750E0,-1.507295251E-2,6.445646198E-3,8.467060626E-2,8.624298126E-2
2.006692750E0,1.102896335E-2,4.382435141E-2,8.915425122E-2,9.995345076E-2
2.016622750E0,2.995501170E-2,3.545327192E-2,4.497385919E-2,6.462882659E-2
2.026552750E0,2.523347642E-2,-1.899521452E-2,5.153735876E-2,6.044539565E-2
2.036482750E0,2.091978444E-2,-8.407451003E-3,8.414961934E-2,8.711762766E-2
2.046413750E0,3.412495354E-2,2.960042832E-2,6.572738171E-2,7.975453916E-2
2.056343750E0,3.237055130E-2,2.032639255E-2,2.694981694E-2,4.676865894E-2
2.066273750E0,-3.833416309E-3,5.707380404E-3,6.212549686E-2,6.250477288E-2
2.076204750E0,-2.798689373E-2,1.688913424E-3,9.969853520E-2,1.035660010E-1
2.086134750E0,-1.762295980E-3,4.177134831E-2,4.491480231E-2,6.136196455E-2
2.096064750E0,3.909777291E-4,2.641402926E-2,3.921025872E-2,4.727894029E-2
2.105996000E0,-2.849971281E-2,-1.597831619E-2,5.713957608E-2,6.582151148E-2
2.115926000E0,-2.773133386E-2,-3.907039606E-2,5.186714172E-2,7.060965314E-2
2.125856000E0,3.376010556E-2,6.371286060E-3,5.978251755E-2,6.895134095E-2
2.135786000E0,6.015377920E-2,4.020312508E-2,8.836312294E-2,1.142051221E-1
2.145717000E0,4.128110496E-2,1.522618610E-2,8.567925096E-2,9.631666738E-2
2.155647000E0,-3.949373905E-3,-2.598124851E-2,2.582539737E-2,3.684527077E-2
2.165577000E0,-2.990439674E-2,-1.307209013E-3,4.528259218E-2,5.428162575E-2
2.175508000E0,-1.852134794E-2,6.960732449E-2,8.374674618E-2,1.104614750E-1
2.185438000E0,-1.224089015E-2,5.908587663E-2,4.409092963E-2,7.473279256E-2
2.195368000E0,-3.209591489E-2,-2.379989903E-2,2.627387881E-2,4.782153965E-2
2.205299000E0,-6.669261083E-3,-3.896795102E-2,7.157927513E-2,8.177146739E-2
2.215229000E0,7.170385737E-2,2.397292180E-2,6.660680294E-2,1.007601625E-1
2.225159000E0,1.083690607E-1,4.092508719E-2,3.786715329E-2,1.218713968E-1
2.235089000E0,2.882028641E-2,-8.211272350E-3,5.837860107E-2,6.562084247E-2
2.245020000E0,-3.348258208E-2,-3.390929178E-2,1.026870471E-1,1.132057994E-1
2.254950000E0,-3.405564576E-2,2.835981818E-3,6.003862560E-2,6.908303963E-2
2.264880000E0,-2.069188921E-2,5.675172295E-2,2.562191427E-2,6.561550753E-2
2.274811000E0,-3.106923519E-2,2.898213095E-2,4.611874402E-2,6.270725507E-2
2.284741000E0,1.037520809E-2,-1.282801456E-3,9.625043213E-2,9.681650793E-2
2.294671000E0,5.061333423E-2,-9.336495912E-3,8.754451275E-2,1.015525552E-1
2.304602000E0,5.831356907E-2,-4.802838983E-3,5.053105295E-2,7.731058732E-2
2.314532000E0,2.858087948E-2,-5.243536318E-4,6.069292903E-2,6.708780256E-2
2.324462000E0,7.499419525E-3,1.691284287E-3,7.403042793E-2,7.442852945E-2
2.334392000E0,-2.199046444E-2,2.002226881E-2,6.686641932E-2,7.318189535E-2
2.344323000E0,-4.642809827E-2,6.337212324E-3,4.949843466E-2,6.816027878E-2
2.354253000E0,-4.908562124E-2,-9.906425849E-3,6.311309159E-2,8.056548774E-2
2.364183000E0,3.836157192E-3,9.496700484E-4,8.525883615E-2,8.535037854E-2
2.374114000E0,4.551659044E-2,3.251969185E-2,6.413226128E-2,8.510133547E-2
2.384044000E0,4.497108176E-2,2.068236464E-2,4.330330968E-2,6.576727934E-2
2.393974000E0,3.027319159E-2,-2.420433449E-2,5.317867219E-2,6.580491709E-2
2.403905000E0,-1.390606754E-2,-2.953028457E-2,8.251941562E-2,8.874046639E-2
2.413835000E0,-3.014612429E-2,1.642133871E-2,7.608864784E-2,8.347413674E-2
2.423765000E0,-3.984683778E-2,3.548629041E-2,4.796061695E-2,7.174446366E-2
2.433695000E0,-3.394116824E-2,1.093350298E-2,5.814003468E-2,6.820416425E-2
2.443626000E0,-4.151486568E-3,-7.071965220E-3,7.414444864E-2,7.459656022E-2
2.453556000E0,4.490396669E-2,-2.262178101E-3,7.637633085E-2,8.862746521E-2
2.463486000E0,6.625467265E-2,-2.437434685E-3,4.673387110E-2,8.111521093E-2
2.473417000E0,3.663496222E-2,-3.610628257E-3,6.978768826E-2,7.890170166E-2
2.483347000E0,3.762226459E-3,-2.097140439E-3,8.106053531E-2,8.117488978E-2
2.493277000E0,-1.804993445E-2,9.542249381E-3,5.300734878E-2,5.680346540E-2
2.503208000E0,-3.268884083E-2,1.041294547E-2,4.219058454E-2,5.437862790E-2
2.513138000E0,-4.364873394E-3,2.237587818E-3,5.878966033E-2,5.899392410E-2
2.523068000E0,2.323844299E-2,5.046896283E-3,5.836164415E-2,6.302045622E-2
2.532999000E0,4.339666413E-2,-5.455452204E-4,1.634296775E-2,4.637521614E-2
2.542929000E0,8.420441872E-2,5.002941666E-3,3.287421584E-2,9.053246723E-2
2.552859000E0,8.795699727E-2,7.263032128E-3,5.777575314E-2,1.054856514E-1
2.562789000E0,2.619961917E-2,6.105077863E-3,4.563576400E-2,5.297466354E-2
2.572720000E0,-9.063633766E-2,3.841118189E-2,3.937748909E-2,1.060233524E-1
2.582650000E0,-1.137182580E-1,2.217461062E-2,3.470205545E-2,1.209453935E-1
2.592580000E0,-7.913230632E-2,1.773360008E-3,-1.953613222E-2,8.152746268E-2
2.602511000E0,-2.551949663E-2,8.869997738E-4,-1.286153555E-2,2.859109256E-2
